employee_id,department,manager_id,review_status,rating,review_date,tenure_months,hire_type,location,high_potential_flag,promotion_recommended,gender,age,rating_label,education_level,job_level,contract_type,employment_type,performance_cycle,engagement_score,terminated,termination_date,review_timeliness
E1015,HR,M237,Finalized,5,2024-10-02 14:04:28.762456,18,Internal Transfer,Sydney,No,No,Male,47,Outstanding,Bachelor,Mid,Permanent,Full-Time,2023 H2,3.47,0,,On Time
E1016,Analytics,M222,Finalized,1,2025-04-29 14:04:28.762456,60,New Hire,Berlin,Yes,No,Male,45,Unsatisfactory,Master,Senior,Temporary,Full-Time,2024 H1,4.11,0,,Late
E1017,Sales,M209,In Progress,4,2025-02-17 14:04:28.762457,41,New Hire,London,No,No,Female,57,Exceeds Expectations,High School,Lead,Temporary,Full-Time,2023 H2,2.9,0,,On Time
E1018,Analytics,M251,In Progress,3,2024-06-21 14:04:28.762458,101,New Hire,Singapore,Yes,Yes,Female,30,Meets Expectations,Master,Senior,Permanent,Full-Time,2024 H1,4.03,0,,Late
E1019,Finance,M255,Submitted,1,2025-05-18 14:04:28.762459,58,New Hire,Tokyo,No,No,Male,33,Unsatisfactory,Bachelor,Mid,Temporary,Full-Time,2024 H2,4.14,0,,On Time
E1020,Finance,M253,In Progress,3,2025-05-05 14:04:28.762460,66,New Hire,Singapore,No,No,Male,50,Meets Expectations,Bachelor,Mid,Permanent,Full-Time,2024 H1,4.65,1,2025-05-08 14:04:28.769064,On Time
E1021,Product,M218,Finalized,2,2024-08-04 14:04:28.762461,70,New Hire,Singapore,No,No,Female,39,Needs Improvement,Master,Mid,Permanent,Full-Time,2024 H1,4.75,0,,On Time
E1022,IT,M227,Finalized,4,2024-08-16 14:04:28.762462,107,New Hire,Tokyo,Yes,No,Non-Binary,42,Exceeds Expectations,Master,Senior,Temporary,Full-Time,2023 H2,1.6,1,2023-12-19 14:04:28.769065,On Time
E1023,Sales,M251,In Progress,2,2024-06-06 14:04:28.762463,4,New Hire,London,No,No,Female,33,Needs Improvement,Master,Mid,Temporary,Full-Time,2024 H2,4.8,1,2024-04-02 14:04:28.769066,On Time
E1024,Admin,M206,Not Started,1,2024-09-14 14:04:28.762464,81,New Hire,London,No,No,Female,32,Unsatisfactory,Master,Mid,Permanent,Full-Time,2023 H2,2.93,0,,On Time
E1025,Operations,M213,Finalized,3,2025-05-22 14:04:28.762465,78,New Hire,Tokyo,No,No,Female,39,Meets Expectations,Bachelor,Lead,Permanent,Full-Time,2024 H1,3.11,0,,On Time
E1026,Sales,M252,Finalized,4,2024-06-24 14:04:28.762465,81,Internal Transfer,Tokyo,No,No,Female,59,Exceeds Expectations,Master,Entry,Temporary,Full-Time,2024 H2,3.13,0,,Late
E1027,Analytics,M256,Finalized,4,2025-03-03 14:04:28.762466,74,Rehire,Berlin,No,No,Female,51,Exceeds Expectations,High School,Mid,Permanent,Part-Time,2023 H2,2.47,1,2024-07-07 14:04:28.769068,On Time
E1028,Sales,M212,Finalized,5,2024-09-28 14:04:28.762467,82,New Hire,Berlin,No,No,Female,48,Outstanding,Master,Lead,Temporary,Full-Time,2024 H1,2.18,0,,On Time
E1029,IT,M243,Not Started,2,2024-10-14 14:04:28.762468,24,Internal Transfer,London,Yes,No,Non-Binary,24,Needs Improvement,Master,Entry,Permanent,Full-Time,2024 H1,4.68,0,,On Time
E1030,Marketing,M252,Finalized,2,2024-08-20 14:04:28.762469,77,New Hire,Sydney,No,No,Female,34,Needs Improvement,High School,Mid,Permanent,Full-Time,2023 H2,2.22,1,2024-11-08 14:04:28.769069,On Time
E1031,Legal,M236,Finalized,4,2025-04-21 14:04:28.762470,56,Internal Transfer,Berlin,No,No,Male,48,Exceeds Expectations,High School,Lead,Temporary,Full-Time,2024 H1,1.67,1,2025-04-05 14:04:28.769070,On Time
E1032,Finance,M246,Finalized,2,2024-12-02 14:04:28.762471,27,New Hire,Singapore,Yes,No,Female,30,Needs Improvement,High School,Entry,Permanent,Full-Time,2024 H1,3.16,0,,Late
E1033,Engineering,M203,Submitted,2,2025-03-29 14:04:28.762472,32,New Hire,Singapore,No,No,Female,41,Needs Improvement,Master,Entry,Permanent,Full-Time,2023 H2,2.23,0,,On Time
E1034,IT,M222,Finalized,5,2025-03-02 14:04:28.762473,81,New Hire,Sydney,Yes,No,Female,25,Outstanding,Bachelor,Mid,Permanent,Full-Time,2024 H1,1.78,0,,On Time
E1035,IT,M236,Submitted,1,2024-10-21 14:04:28.762474,41,Internal Transfer,Singapore,No,No,Female,29,Unsatisfactory,PhD,Entry,Temporary,Full-Time,2024 H2,3.16,0,,On Time
E1036,Marketing,M216,Submitted,2,2025-01-12 14:04:28.762474,7,Internal Transfer,Tokyo,No,No,Male,44,Needs Improvement,Bachelor,Mid,Permanent,Full-Time,2024 H2,3.51,0,,On Time
E1037,Marketing,M264,Finalized,4,2024-08-14 14:04:28.762475,90,Internal Transfer,Singapore,No,No,Female,29,Exceeds Expectations,High School,Senior,Permanent,Part-Time,2024 H1,3.05,1,2024-09-24 14:04:28.769072,On Time
E1038,Sales,M253,Not Started,3,2024-08-01 14:04:28.762476,44,Internal Transfer,Sydney,No,No,Female,53,Meets Expectations,Bachelor,Lead,Permanent,Full-Time,2024 H1,2.31,0,,On Time
E1039,Operations,M224,In Progress,5,2024-10-23 14:04:28.762477,32,Internal Transfer,New York,No,No,Male,23,Outstanding,Bachelor,Entry,Intern,Full-Time,2023 H2,2.24,0,,On Time
E1040,Marketing,M201,Finalized,2,2025-05-30 14:04:28.762478,62,Internal Transfer,Sydney,No,No,Male,25,Needs Improvement,Bachelor,Mid,Permanent,Full-Time,2023 H2,4.36,0,,Late
E1041,Product,M243,Submitted,1,2024-11-30 14:04:28.762479,46,New Hire,Sydney,No,No,Male,36,Unsatisfactory,Bachelor,Lead,Permanent,Full-Time,2024 H1,3.48,1,2025-03-10 14:04:28.769073,Late
E1042,Analytics,M261,Finalized,5,2024-12-11 14:04:28.762480,48,Internal Transfer,Singapore,No,No,Male,50,Outstanding,Master,Entry,Temporary,Full-Time,2023 H2,4.21,0,,Late
E1043,Product,M211,Finalized,2,2024-08-06 14:04:28.762481,114,New Hire,Berlin,Yes,Yes,Female,50,Needs Improvement,High School,Senior,Intern,Full-Time,2024 H2,4.89,0,,On Time
E1044,HR,M219,Finalized,5,2024-11-18 14:04:28.762482,20,Rehire,Sydney,No,Yes,Male,41,Outstanding,Bachelor,Mid,Permanent,Full-Time,2024 H1,2.6,0,,On Time
E1045,Marketing,M256,Submitted,5,2025-03-07 14:04:28.762483,95,New Hire,London,No,Yes,Male,53,Outstanding,Bachelor,Mid,Permanent,Full-Time,2023 H2,3.54,0,,On Time
E1046,Product,M216,Finalized,4,2024-06-07 14:04:28.762484,59,New Hire,Singapore,Yes,No,Male,45,Exceeds Expectations,Bachelor,Lead,Temporary,Part-Time,2024 H2,1.9,0,,On Time
E1047,Engineering,M242,Not Started,5,2025-03-22 14:04:28.762485,89,Internal Transfer,New York,No,Yes,Female,44,Outstanding,Bachelor,Mid,Permanent,Full-Time,2023 H2,3.28,0,,Late
E1048,Marketing,M217,In Progress,4,2025-05-04 14:04:28.762486,90,New Hire,New York,No,No,Male,31,Exceeds Expectations,Bachelor,Entry,Temporary,Full-Time,2023 H2,2.49,0,,On Time
E1049,IT,M227,In Progress,3,2024-06-21 14:04:28.762487,70,New Hire,Berlin,No,No,Male,51,Meets Expectations,High School,Lead,Temporary,Full-Time,2024 H2,3.91,0,,On Time
E1050,Marketing,M258,Finalized,1,2024-06-06 14:04:28.762487,30,New Hire,Singapore,No,No,Male,38,Unsatisfactory,High School,Entry,Permanent,Part-Time,2024 H1,4.95,0,,On Time
E1051,Marketing,M214,Finalized,5,2024-11-04 14:04:28.762488,61,New Hire,Tokyo,No,No,Female,22,Outstanding,High School,Mid,Temporary,Full-Time,2023 H2,4.35,1,2023-07-24 14:04:28.769075,On Time
E1052,Operations,M237,Finalized,4,2024-06-27 14:04:28.762489,100,Rehire,Berlin,No,No,Female,55,Exceeds Expectations,Bachelor,Entry,Permanent,Full-Time,2023 H2,4.33,1,2024-02-08 14:04:28.769076,On Time
E1053,Marketing,M229,Finalized,5,2024-09-07 14:04:28.762491,25,Internal Transfer,Singapore,No,No,Female,42,Outstanding,Master,Lead,Permanent,Full-Time,2024 H1,3.43,0,,On Time
E1054,Legal,M262,Finalized,1,2024-09-23 14:04:28.762491,64,Rehire,Berlin,No,No,Non-Binary,39,Unsatisfactory,High School,Mid,Permanent,Full-Time,2023 H2,2.2,0,,On Time
E1055,IT,M259,Submitted,2,2025-04-07 14:04:28.762492,110,New Hire,New York,No,No,Male,49,Needs Improvement,High School,Entry,Permanent,Full-Time,2023 H2,4.72,0,,On Time
E1056,Marketing,M252,Finalized,3,2024-11-25 14:04:28.762493,90,Rehire,Berlin,Yes,Yes,Female,46,Meets Expectations,Bachelor,Lead,Permanent,Full-Time,2024 H1,3.55,0,,On Time
E1057,Operations,M235,Not Started,1,2025-05-07 14:04:28.762494,19,New Hire,New York,No,No,Female,51,Unsatisfactory,Master,Lead,Temporary,Full-Time,2024 H2,4.26,0,,On Time
E1058,Marketing,M213,Finalized,2,2025-05-15 14:04:28.762495,5,New Hire,Tokyo,No,Yes,Male,51,Needs Improvement,Master,Senior,Permanent,Full-Time,2024 H1,3.57,0,,On Time
E1059,Sales,M247,Finalized,4,2024-10-10 14:04:28.762496,90,Internal Transfer,Tokyo,Yes,No,Male,33,Exceeds Expectations,Master,Mid,Permanent,Full-Time,2024 H2,2.06,0,,On Time
E1060,Admin,M218,Not Started,1,2024-10-22 14:04:28.762497,109,New Hire,New York,No,No,Male,24,Unsatisfactory,Bachelor,Senior,Permanent,Full-Time,2023 H2,2.85,1,2024-01-05 14:04:28.769078,On Time
E1061,Analytics,M217,In Progress,3,2025-05-12 14:04:28.762497,72,New Hire,Tokyo,No,No,Male,25,Meets Expectations,Bachelor,Lead,Permanent,Part-Time,2024 H2,3.14,0,,Late
E1062,Admin,M205,In Progress,3,2024-07-24 14:04:28.762498,82,New Hire,Singapore,No,No,Male,42,Meets Expectations,Bachelor,Entry,Permanent,Full-Time,2024 H2,2.73,0,,On Time
E1063,Sales,M221,Submitted,3,2024-07-27 14:04:28.762499,91,Internal Transfer,Singapore,No,No,Male,32,Meets Expectations,Bachelor,Mid,Permanent,Full-Time,2024 H1,2.61,1,2023-06-17 14:04:28.769079,On Time
E1064,Operations,M254,Submitted,2,2024-12-09 14:04:28.762500,12,New Hire,Tokyo,No,No,Non-Binary,26,Needs Improvement,High School,Entry,Permanent,Full-Time,2024 H2,3.34,0,,Late
E1065,Operations,M243,Finalized,5,2024-09-23 14:04:28.762501,98,Internal Transfer,Singapore,No,No,Female,54,Outstanding,High School,Mid,Permanent,Part-Time,2024 H1,4.15,0,,Late
E1066,Operations,M242,Submitted,2,2025-04-26 14:04:28.762502,39,Internal Transfer,Berlin,No,No,Female,48,Needs Improvement,Master,Mid,Permanent,Full-Time,2023 H2,2.5,0,,On Time
E1067,Engineering,M261,In Progress,4,2025-02-20 14:04:28.762503,117,Internal Transfer,New York,No,Yes,Female,39,Exceeds Expectations,Master,Mid,Permanent,Full-Time,2023 H2,3.05,1,2024-02-01 14:04:28.769081,On Time
E1068,Marketing,M258,Submitted,5,2024-10-06 14:04:28.762504,31,New Hire,Tokyo,No,No,Male,53,Outstanding,Bachelor,Mid,Permanent,Full-Time,2024 H1,4.87,0,,On Time
E1069,Operations,M220,Not Started,5,2024-06-11 14:04:28.762505,47,New Hire,Tokyo,No,No,Male,49,Outstanding,Bachelor,Senior,Temporary,Full-Time,2023 H2,2.22,0,,On Time
E1070,Analytics,M204,Finalized,5,2025-05-06 14:04:28.762506,102,New Hire,London,No,No,Female,53,Outstanding,High School,Mid,Permanent,Full-Time,2023 H2,3.23,0,,On Time
E1071,IT,M216,Submitted,1,2024-07-11 14:04:28.762507,111,New Hire,Berlin,No,Yes,Female,58,Unsatisfactory,High School,Senior,Permanent,Full-Time,2024 H2,1.59,0,,On Time
E1072,Admin,M245,Submitted,2,2025-04-23 14:04:28.762508,36,Rehire,Sydney,No,Yes,Male,56,Needs Improvement,Master,Mid,Permanent,Full-Time,2024 H1,1.68,0,,On Time
E1073,Admin,M236,Not Started,2,2024-10-12 14:04:28.762508,48,Internal Transfer,Sydney,No,No,Female,42,Needs Improvement,Master,Entry,Permanent,Full-Time,2024 H1,2.31,0,,On Time
E1074,Analytics,M225,In Progress,4,2025-03-31 14:04:28.762509,104,New Hire,Singapore,Yes,No,Female,54,Exceeds Expectations,High School,Lead,Temporary,Full-Time,2024 H2,3.37,0,,On Time
E1075,Operations,M255,Finalized,1,2024-06-30 14:04:28.762510,106,New Hire,Tokyo,No,No,Female,39,Unsatisfactory,Master,Senior,Permanent,Full-Time,2024 H2,4.31,0,,On Time
E1076,Sales,M219,In Progress,3,2025-04-14 14:04:28.762511,57,New Hire,London,No,Yes,Female,40,Meets Expectations,High School,Entry,Intern,Part-Time,2024 H1,3.21,0,,On Time
E1077,Analytics,M245,Not Started,4,2024-06-12 14:04:28.762512,28,Internal Transfer,Singapore,No,No,Non-Binary,33,Exceeds Expectations,Bachelor,Entry,Permanent,Full-Time,2024 H1,1.7,0,,On Time
E1078,Analytics,M229,Submitted,4,2024-09-09 14:04:28.762513,82,Internal Transfer,New York,No,No,Male,22,Exceeds Expectations,Bachelor,Entry,Permanent,Full-Time,2023 H2,4.43,0,,On Time
E1079,IT,M244,Finalized,4,2024-10-27 14:04:28.762514,66,New Hire,London,Yes,No,Male,23,Exceeds Expectations,PhD,Mid,Permanent,Full-Time,2023 H2,2.74,0,,On Time
E1080,HR,M232,Submitted,5,2025-04-20 14:04:28.762515,46,New Hire,Singapore,No,No,Male,30,Outstanding,Bachelor,Mid,Temporary,Full-Time,2024 H2,2.09,0,,On Time
E1081,Marketing,M261,In Progress,5,2024-07-31 14:04:28.762516,75,Rehire,Berlin,No,No,Male,58,Outstanding,Master,Senior,Permanent,Part-Time,2024 H1,3.02,0,,On Time
E1082,Operations,M220,Finalized,4,2024-09-11 14:04:28.762517,57,New Hire,Berlin,No,Yes,Male,31,Exceeds Expectations,Master,Entry,Temporary,Full-Time,2024 H1,3.41,0,,On Time
E1083,Sales,M224,Finalized,3,2025-05-14 14:04:28.762518,71,New Hire,New York,No,Yes,Female,26,Meets Expectations,Master,Lead,Permanent,Full-Time,2024 H2,4.04,0,,On Time
E1084,Finance,M255,Submitted,2,2025-02-21 14:04:28.762519,119,New Hire,London,No,No,Male,33,Needs Improvement,High School,Entry,Permanent,Full-Time,2024 H2,2.5,0,,Late
E1085,Sales,M258,Finalized,4,2024-07-17 14:04:28.762519,93,New Hire,Singapore,No,No,Male,29,Exceeds Expectations,Bachelor,Entry,Intern,Part-Time,2024 H1,3.9,0,,Late
E1086,Marketing,M258,Finalized,3,2024-06-23 14:04:28.762520,3,New Hire,Singapore,No,Yes,Male,23,Meets Expectations,Bachelor,Mid,Permanent,Full-Time,2024 H1,3.06,0,,On Time
E1087,Admin,M238,In Progress,3,2025-01-10 14:04:28.762521,106,New Hire,New York,No,No,Non-Binary,50,Meets Expectations,Bachelor,Entry,Permanent,Full-Time,2023 H2,4.24,0,,Late
E1088,Admin,M203,Finalized,5,2025-05-23 14:04:28.762522,113,New Hire,Sydney,Yes,No,Female,30,Outstanding,Master,Entry,Temporary,Full-Time,2023 H2,2.16,0,,On Time
E1089,Operations,M207,In Progress,2,2025-04-07 14:04:28.762523,8,New Hire,Berlin,No,No,Male,47,Needs Improvement,Bachelor,Senior,Temporary,Full-Time,2024 H1,3.54,0,,On Time
E1090,IT,M228,Submitted,2,2025-03-21 14:04:28.762524,118,Internal Transfer,Berlin,No,No,Male,58,Needs Improvement,Master,Mid,Temporary,Full-Time,2024 H1,2.96,1,2024-05-25 14:04:28.769084,On Time
E1091,Marketing,M225,Submitted,5,2024-12-27 14:04:28.762525,13,Internal Transfer,London,No,No,Male,48,Outstanding,Bachelor,Lead,Permanent,Full-Time,2024 H1,4.97,1,2025-03-10 14:04:28.769085,On Time
E1092,Marketing,M216,Finalized,1,2024-10-23 14:04:28.762526,93,New Hire,Tokyo,No,No,Female,44,Unsatisfactory,Bachelor,Mid,Permanent,Full-Time,2023 H2,3.84,0,,Late
E1093,Operations,M219,Finalized,1,2025-05-22 14:04:28.762527,105,New Hire,Singapore,No,Yes,Male,33,Unsatisfactory,Bachelor,Senior,Temporary,Full-Time,2023 H2,4.53,1,2024-08-05 14:04:28.769086,Late
E1094,HR,M241,In Progress,1,2025-02-17 14:04:28.762527,39,New Hire,Sydney,No,No,Female,58,Unsatisfactory,Bachelor,Lead,Intern,Full-Time,2023 H2,2.66,1,2024-04-20 14:04:28.769087,On Time
E1095,IT,M206,Finalized,4,2024-08-05 14:04:28.762528,7,New Hire,London,No,No,Non-Binary,26,Exceeds Expectations,Bachelor,Entry,Temporary,Full-Time,2023 H2,1.84,0,,On Time
E1096,IT,M207,Submitted,2,2024-07-02 14:04:28.762529,42,Internal Transfer,London,No,No,Male,47,Needs Improvement,Bachelor,Mid,Temporary,Full-Time,2023 H2,1.74,0,,On Time
E1097,Engineering,M231,Finalized,3,2025-04-14 14:04:28.762530,106,New Hire,Tokyo,No,Yes,Non-Binary,55,Meets Expectations,Bachelor,Mid,Temporary,Full-Time,2024 H1,2.22,1,2024-12-10 14:04:28.769088,On Time
E1098,Product,M210,Finalized,1,2024-11-15 14:04:28.762531,34,Rehire,Singapore,No,No,Female,28,Unsatisfactory,High School,Entry,Permanent,Full-Time,2024 H2,2.49,0,,Late
E1099,IT,M225,In Progress,3,2024-10-13 14:04:28.762532,71,Internal Transfer,Sydney,No,No,Female,53,Meets Expectations,Bachelor,Mid,Permanent,Full-Time,2024 H2,2.37,0,,On Time
E1100,Analytics,M247,Submitted,5,2025-04-14 14:04:28.762533,25,Internal Transfer,New York,No,No,Male,35,Outstanding,Master,Entry,Temporary,Full-Time,2023 H2,4.03,1,2024-02-03 14:04:28.769090,Late
E1101,HR,M231,Finalized,3,2024-10-17 14:04:28.762534,112,New Hire,Tokyo,No,No,Female,50,Meets Expectations,Bachelor,Mid,Permanent,Full-Time,2023 H2,1.92,0,,On Time
E1102,IT,M257,Submitted,4,2024-12-24 14:04:28.762535,87,Internal Transfer,Tokyo,No,No,Male,59,Exceeds Expectations,High School,Mid,Permanent,Full-Time,2024 H1,3.1,0,,On Time
E1103,Operations,M245,Finalized,2,2025-03-18 14:04:28.762535,64,New Hire,London,No,No,Male,34,Needs Improvement,Bachelor,Senior,Permanent,Full-Time,2024 H2,4.15,0,,Late
E1104,Sales,M259,In Progress,4,2024-09-09 14:04:28.762536,100,New Hire,New York,Yes,Yes,Male,34,Exceeds Expectations,High School,Entry,Permanent,Full-Time,2024 H2,2.8,0,,On Time
E1105,Finance,M221,Not Started,3,2024-12-17 14:04:28.762537,47,Internal Transfer,Singapore,No,No,Male,51,Meets Expectations,Master,Mid,Permanent,Full-Time,2024 H1,2.26,0,,On Time
E1106,Analytics,M264,Not Started,5,2024-08-18 14:04:28.762538,65,Internal Transfer,Sydney,No,No,Female,51,Outstanding,PhD,Senior,Permanent,Full-Time,2024 H1,3.88,1,2025-01-09 14:04:28.769091,On Time
E1107,Engineering,M231,Finalized,2,2024-09-07 14:04:28.762539,5,Rehire,Singapore,No,No,Male,23,Needs Improvement,Master,Lead,Permanent,Full-Time,2023 H2,4.17,0,,On Time
E1108,Sales,M203,In Progress,4,2025-05-08 14:04:28.762540,58,Internal Transfer,Berlin,Yes,No,Female,34,Exceeds Expectations,Bachelor,Senior,Permanent,Full-Time,2024 H1,2.83,0,,On Time
E1109,Operations,M208,In Progress,2,2024-10-15 14:04:28.762541,21,New Hire,Berlin,Yes,No,Non-Binary,40,Needs Improvement,Master,Senior,Permanent,Full-Time,2024 H1,2.03,0,,On Time
E1110,Legal,M253,Finalized,2,2025-02-05 14:04:28.762542,97,New Hire,Sydney,No,No,Female,37,Needs Improvement,Bachelor,Mid,Temporary,Full-Time,2024 H1,4.54,0,,On Time
E1111,Analytics,M204,Not Started,4,2024-10-13 14:04:28.762543,37,Internal Transfer,Singapore,Yes,Yes,Male,41,Exceeds Expectations,Bachelor,Mid,Temporary,Full-Time,2024 H2,1.69,0,,On Time
E1112,Analytics,M200,Finalized,4,2024-07-06 14:04:28.762544,96,Rehire,New York,No,No,Non-Binary,59,Exceeds Expectations,Master,Senior,Permanent,Full-Time,2024 H1,2.69,0,,On Time
E1113,HR,M263,Finalized,3,2024-07-07 14:04:28.762544,27,Internal Transfer,Berlin,No,No,Male,59,Meets Expectations,Bachelor,Lead,Permanent,Full-Time,2024 H1,4.26,0,,On Time
E1114,Analytics,M246,Submitted,3,2024-06-09 14:04:28.762545,26,Rehire,Sydney,No,No,Female,56,Meets Expectations,Master,Entry,Permanent,Full-Time,2024 H1,4.0,1,2024-08-23 14:04:28.769093,On Time
E1115,Sales,M229,Finalized,4,2025-01-06 14:04:28.762546,86,New Hire,Tokyo,No,No,Non-Binary,53,Exceeds Expectations,Bachelor,Mid,Permanent,Full-Time,2024 H2,3.34,0,,On Time
E1116,Product,M239,In Progress,2,2025-02-07 14:04:28.762547,14,New Hire,London,No,No,Male,24,Needs Improvement,High School,Mid,Permanent,Part-Time,2023 H2,3.17,0,,On Time
E1117,Sales,M259,Finalized,4,2024-11-24 14:04:28.762548,43,New Hire,Sydney,No,No,Male,40,Exceeds Expectations,Master,Mid,Permanent,Full-Time,2023 H2,1.88,1,2023-10-01 14:04:28.769094,Late
E1118,Product,M253,Finalized,1,2025-01-21 14:04:28.762549,38,New Hire,Sydney,No,No,Female,30,Unsatisfactory,PhD,Mid,Temporary,Full-Time,2023 H2,3.92,1,2023-12-02 14:04:28.769095,On Time
E1119,Operations,M227,In Progress,4,2024-07-14 14:04:28.762550,41,Rehire,Berlin,Yes,No,Female,47,Exceeds Expectations,Bachelor,Mid,Permanent,Full-Time,2023 H2,2.54,0,,On Time
E1120,Admin,M247,Submitted,1,2024-07-01 14:04:28.762551,56,Internal Transfer,Sydney,No,No,Female,38,Unsatisfactory,Master,Mid,Permanent,Full-Time,2024 H2,1.51,0,,On Time
E1121,Operations,M200,In Progress,2,2024-10-11 14:04:28.762551,15,Internal Transfer,Tokyo,No,No,Male,26,Needs Improvement,Master,Mid,Permanent,Full-Time,2023 H2,2.22,0,,On Time
E1122,Legal,M202,Finalized,1,2024-10-26 14:04:28.762552,59,New Hire,New York,Yes,No,Male,43,Unsatisfactory,High School,Senior,Permanent,Part-Time,2024 H1,1.56,0,,On Time
E1123,Finance,M245,Finalized,3,2025-01-07 14:04:28.762553,93,New Hire,London,No,No,Female,56,Meets Expectations,Bachelor,Entry,Permanent,Full-Time,2023 H2,2.04,0,,On Time
E1124,Marketing,M221,Finalized,5,2024-08-28 14:04:28.762554,46,New Hire,New York,No,No,Male,22,Outstanding,Bachelor,Senior,Permanent,Full-Time,2024 H1,2.29,0,,Late
E1125,Marketing,M261,Submitted,5,2024-12-31 14:04:28.762555,56,New Hire,Singapore,No,Yes,Male,45,Outstanding,Bachelor,Entry,Permanent,Full-Time,2024 H1,2.12,0,,On Time
E1126,Analytics,M223,Submitted,4,2024-09-28 14:04:28.762556,93,New Hire,Singapore,No,No,Female,32,Exceeds Expectations,Master,Entry,Temporary,Full-Time,2024 H1,4.07,0,,On Time
E1127,Engineering,M204,In Progress,4,2024-11-08 14:04:28.762557,16,New Hire,New York,No,Yes,Female,28,Exceeds Expectations,Master,Entry,Permanent,Full-Time,2023 H2,4.39,0,,On Time
E1128,Engineering,M236,Finalized,1,2024-09-30 14:04:28.762558,117,New Hire,London,No,No,Female,52,Unsatisfactory,Master,Entry,Temporary,Full-Time,2024 H2,3.58,0,,On Time
E1129,IT,M215,In Progress,5,2024-10-27 14:04:28.762559,90,New Hire,Tokyo,No,No,Male,57,Outstanding,Bachelor,Mid,Permanent,Full-Time,2023 H2,1.74,0,,On Time
E1130,Admin,M223,In Progress,1,2024-12-11 14:04:28.762560,27,New Hire,Tokyo,No,No,Female,42,Unsatisfactory,Bachelor,Lead,Permanent,Full-Time,2024 H2,4.59,0,,Late
E1131,Operations,M238,Submitted,1,2025-02-15 14:04:28.762560,5,New Hire,Berlin,No,No,Male,54,Unsatisfactory,Bachelor,Mid,Intern,Full-Time,2024 H2,1.7,1,2024-03-26 14:04:28.769098,Late
